EntrezID	EnsemblTranscriptID	GeneSymbols
172860	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175025	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175028	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175034	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
177521	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178048	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178056	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179261	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179265	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
180073	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
184112	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
186671	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191669	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191676	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191678	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
259800	B0035.7	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178049	B0035.8	his-58|his-62|his-66|his-48
186251	B0035.8	his-58|his-62|his-66|his-48
186326	B0035.8	his-58|his-62|his-66|his-48
186670	B0035.8	his-58|his-62|his-66|his-48
175027	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
175032	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
177522	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178050	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178055	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178066	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179233	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179260	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179264	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179267	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179341	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
188792	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191667	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191671	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191677	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191680	B0035.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
172077	B0041.7	xnp-1
172168	B0261.1	B0261.1
181893	B0280.4	odd-1
175993	B0280.8	nhr-10
173773	B0286.4	ntl-2
181907	B0286.5	fkh-6
173788	B0304.1	hlh-1
180403	B0310.2	B0310.2
175802	B0336.1	wrm-1
175800	B0336.3	B0336.3
175792	B0336.7	B0336.7
181944	B0379.4	scpl-1
175238	B0412.1	dac-1
172243	B0414.2	rnt-1
172242	B0414.3	hil-5
173652	B0454.1	lin-8
178265	B0564.10	unc-30
177433	C01B10.5	hil-7
182061	C01B12.2	gmeb-1
179257	C01B7.1	sup-37|ztf-12
173764	C01F1.1	C01F1.1
177735	C01F6.5	aly-1
177731	C01F6.9	CELE_C01F6.9|C01F6.9
175118	C01G12.1	madf-5
3565337	C01G8.9	let-526
172460	C01H6.5	nhr-23
191719	C02B4.2	nhr-17
181069	C02B8.4	hlh-8
6418830	C02F12.10	ceh-63
180656	C02F12.5	C02F12.5
182124	C02F5.12	C02F5.12
176083	C03B8.4	lin-13
182172	C03G6.10	nhr-148
182174	C03G6.12	nhr-149
182170	C03G6.8	nhr-147
174121	C04A2.3	egl-27
172236	C04F1.3	lim-7
182221	C04F5.5	srab-2
178899	C04F5.9	C04F5.9
177876	C04G2.7	egl-38
175858	C05D10.1	attf-4
175776	C05D2.5	xnd-1
182276	C05G6.1	nhr-76
174630	C06A1.5	rpb-6
182284	C06A5.11	sir-2.4
182282	C06A5.4	madf-7
182297	C06B8.1	nhr-150
180068	C06C6.4	nhr-63
180067	C06C6.5	nhr-50
182317	C06E1.8	ztf-30
182319	C06E2.1	C06E2.1
177476	C06G3.1	nhr-105
180727	C07A12.1	ham-2
180725	C07A12.3	nhr-35
180722	C07A12.5	spr-3
182370	C07E3.5	ceh-57
182371	C07E3.6	ceh-58
175587	C07G2.2	atf-7
176068	C07H6.7	lin-39
174285	C08B11.2	hda-2
174286	C08B11.3	swsn-7
176093	C08C3.1	egl-5
176091	C08C3.3	mab-5
178024	C08F8.8	nhr-67
177545	C08G9.2	C08G9.2
182454	C09F5.3	C09F5.3
182467	C09G12.1	ceh-53
177657	C09G4.5	mes-6
177703	C09G9.6	oma-1
182466	C09G9.7	npax-4
172596	C09H6.1	spr-4
182489	C10A4.8	mnm-2
181723	C10E2.3	hda-4
178919	C10G8.6	ceh-34
191622	C10G8.7	ceh-33
181704	C11G6.1	taf-3
181705	C11G6.4	nhr-28
172760	C12C8.3	lin-41
182547	C12D12.5	sox-4
182533	C12D5.2	nhr-152
179149	C12D5.8	nhr-94
182564	C13C4.1	nhr-153
182565	C13C4.2	nhr-154
182566	C13C4.3	nhr-136
191618	C13G5.1	ceh-16
176145	C14B9.6	gei-8
182602	C14C6.4	nhr-155
179743	C15C8.2	cky-1
182648	C15H11.8	rpoa-12|C15H11.8
173755	C16A11.4	C16A11.4
175907	C16A3.1	C16A3.1
175905	C16A3.4	C16A3.4
175902	C16A3.7	nfx-1
191616	C16C2.1	ceh-5
182697	C17A2.1	nhr-257
191721	C17A2.8	nhr-72
182719	C17C3.10	hlh-27
182717	C17C3.7	hlh-25
173939	C17C3.8	hlh-26
173045	C17D12.1	dhhc-7|C17D12.1
172769	C17E4.6	CELE_C17E4.6|C17E4.6
182727	C17E7.1	nhr-156
182730	C17E7.5	nhr-157
182731	C17E7.6	nhr-158
182732	C17E7.7	nhr-159
182733	C17E7.8	nhr-124
181206	C17G1.4	nra-3
173945	C17G10.4	cdc-14
182756	C17H12.9	ceh-48
182758	C18A3.8	hlh-14
181599	C18B12.3	dsc-1
174569	C18D1.1	die-1
178868	C18G1.2	elt-7
178866	C18G1.5	hil-4
182817	C23H3.3	C23H3.3
175226	C24A1.2	elf-1
178933	C24G6.4	nhr-47
182861	C24H11.3	tbx-38
172889	C25A1.11	aha-1
182874	C25A1.2	fkh-10
182882	C25B8.6	nhr-120
180009	C25D7.3	sdc-3
180010	C25D7.6	mcm-3
182887	C25E10.1	nhr-30
182904	C25F9.2	C25F9.2
180272	C25F9.5	C25F9.5
182915	C25G4.4	gmeb-4
178196	C25G4.5	dpy-26
177601	C26B2.3	nhr-31
182927	C26B2.4	nhr-258
172504	C26C6.1	pbrm-1
172507	C26C6.5	dcp-66
179809	C26E1.3	ceh-79
175670	C26E6.2	flh-2
175668	C26E6.4	rpb-2
172281	C27A12.2	C27A12.2
182953	C27A12.3	tag-146
191615	C27A12.5	ceh-2
3565834	C27A2.7	C27A2.7
177706	C27B7.4	rad-26
181580	C27C12.2	egrh-1
181581	C27C12.6	dmd-4
191723	C27C7.3	nhr-74
191496	C27C7.4	nhr-73|nhr-245
191722	C27C7.4	nhr-73|nhr-245
259434	C27D6.4	crh-2
175581	C28A5.4	ceh-43
182980	C28C12.8	hlh-12
177806	C28D4.1	nhr-100
3565904	C28D4.9	nhr-138
181132	C28G1.4	C28G1.4
175832	C28H8.9	dpff-1
179502	C29A12.3	lig-1
178121	C29E6.5	nhr-43
181465	C29F7.4	fkh-3
181466	C29F7.5	fkh-4
183029	C29F9.13	nhr-280
183034	C29G2.5	srt-58
176157	C30A5.7	unc-86
3565948	C30G4.7	C30G4.7
179993	C30G7.1	hil-1
266926	C32C4.5	mab-23
172162	C32E12.5	sem-2
172249	C32F10.2	lin-35
172250	C32F10.5	hmg-3
172251	C32F10.6	nhr-2
181627	C33A11.4	tag-97
191621	C33D12.1	ceh-31
191620	C33D12.7	ceh-30
181250	C33D3.1	elt-2
183181	C33G8.10	nhr-162
179083	C33G8.11	nhr-107
183182	C33G8.12	nhr-163
179084	C33G8.6	nhr-42
183178	C33G8.7	nhr-161
183179	C33G8.8	nhr-139
3565647	C33G8.9	nhr-140
177568	C33H5.17	C33H5.17
179793	C34B4.2	CELE_C34B4.2|C34B4.2
183194	C34B7.4	mys-4
174391	C34C6.8	ceh-7
183202	C34D1.1	dmd-10
183203	C34D1.2	dmd-11
13216113	C34D1.5	zip-5
183204	C34D1.5	zip-5
181059	C34D10.2	C34D10.2
183212	C34E10.7	cnd-1
181312	C34F6.9	C34F6.9
183219	C34H3.2	odd-2
181341	C35C5.1	sdc-2
183235	C35D6.4	C35D6.4|CELE_C35D6.4
175499	C36A4.8	brc-1
172680	C36B1.3	rpb-3
183272	C36C9.2	tbx-31
172789	C36F7.1	irx-1
172398	C37A2.5	pqn-21
181529	C37E2.4	ceh-36
181530	C37E2.5	ceh-37
177016	C37F5.1	lin-1
183304	C38C3.9	nhr-260
175634	C38D4.3	mel-28
175638	C38D4.6	pal-1
183310	C38D4.7	C38D4.7|CELE_C38D4.7
181249	C39B10.6	elt-4
180751	C39E6.4	mls-2
183364	C40D2.4	ceh-84
181357	C40H5.5	ttx-3
172047	C41D11.7	eri-7
183381	C41G6.5	nhr-164
172788	C41G7.5	ahr-1
177491	C42D4.8	rpc-1
180778	C42D8.4	ets-5
172027	C43E11.2	mus-81
183426	C43H6.7	C43H6.7|dhhc-9
183427	C43H6.8	hlh-15
176517	C44B9.4	athp-1
183457	C44C10.8	hnd-1
175487	C44F1.2	gmeb-3
171884	C45E1.1	nhr-64
177350	C45E5.6	nhr-46
173716	C46E10.8	C46E10.8
183510	C46E10.9	C46E10.9
183517	C46F11.3	madf-8
183539	C47C12.3	ref-2
183558	C47F8.2	nhr-165
191728	C47F8.8	nhr-81
174721	C47G2.2	unc-130
175462	C48D5.1	nhr-6
172319	C48E7.11	cebp-2
172321	C48E7.2	C48E7.2
172320	C48E7.3	lpd-2
173293	C49A1.4	eya-1
178514	C49C3.5	ceh-88
183605	C49D10.2	nhr-166
191724	C49D10.6	nhr-75
183611	C49D10.9	nhr-261
183613	C49F5.4	nhr-167
183631	C50A2.4	ets-8
183635	C50B6.14	nhr-129
353455	C50B6.8	nhr-168
174874	C50E10.4	sop-2
179339	C50F4.13	his-35
179340	C50F4.5	his-41
175027	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
175032	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
177522	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178050	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178055	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178066	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179233	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179260	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179264	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179267	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179341	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
188792	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191667	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191671	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191677	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191680	C50F4.7	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
183690	C50H2.6	ceh-75
180702	C52B9.2	ets-9
180705	C52B9.8	C52B9.8
174148	C52E12.1	C52E12.1
353399	C52E12.6	C52E12.6
179959	C53A5.3	hda-1
171617	C53D5.4	ztf-3
183768	C54C8.1	nhr-169
180982	C54D1.6	bar-1
183795	C54E10.5	nhr-170
183807	C54F6.8	nhr-171
183808	C54F6.9	nhr-172
179967	C54G10.2	rfc-1
183847	C55B7.12	che-1
183848	C55C2.1	scrt-1
183862	C56E10.1	nhr-173
183865	C56E10.4	nhr-137
180481	D1005.3	cebp-1
172059	D1007.1	ceh-17
179192	D1014.8	spr-1
183908	D1046.2	CELE_D1046.2|D1046.2
172636	D1081.2	unc-120
172639	D1081.8	D1081.8
181109	D2021.2	dhhc-14|tag-233
172516	D2030.7	D2030.7
183973	DY3.3	hlh-16
174512	E02H1.7	nhr-19
184003	E02H9.8	nhr-121
184005	E03A3.3	his-69
184006	E03A3.4	his-70
184026	E03H4.13	nhr-89
184021	E03H4.6	nhr-174
177938	F01D4.6	mec-3
177908	F01G10.8	daf-14
178015	F01G4.1	swsn-4
184086	F02D10.7	set-8
172626	F02E9.2	lin-28
172628	F02E9.4	sin-3
174782	F07A11.6	din-1
172860	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175025	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175028	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175034	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
177521	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178048	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178056	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179261	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179265	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
180073	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
184112	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
186671	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191669	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191676	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191678	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
259800	F07B7.10	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179262	F07B7.11	his-52|his-54|his-4|his-20|his-8|his-22
179266	F07B7.11	his-52|his-54|his-4|his-20|his-8|his-22
180072	F07B7.11	his-52|his-54|his-4|his-20|his-8|his-22
184117	F07B7.11	his-52|his-54|his-4|his-20|his-8|his-22
191670	F07B7.11	his-52|his-54|his-4|his-20|his-8|his-22
191675	F07B7.11	his-52|his-54|his-4|his-20|his-8|his-22
172860	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175025	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175028	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
175034	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
177521	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178048	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
178056	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179261	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179265	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
180073	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
184112	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
186671	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191669	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191676	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
191678	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
259800	F07B7.3	his-16|his-21|his-12|his-19|his-65|his-51|his-53|his-61|his-57|his-47|his-33|his-30|his-43|his-68|his-3|his-7
179262	F07B7.4	his-52|his-4|his-20|his-8|his-22
179266	F07B7.4	his-52|his-4|his-20|his-8|his-22
180072	F07B7.4	his-52|his-4|his-20|his-8|his-22
191670	F07B7.4	his-52|his-4|his-20|his-8|his-22
191675	F07B7.4	his-52|his-4|his-20|his-8|his-22
175030	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
175031	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
177628	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
180074	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
181821	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
184113	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
184200	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
184804	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
186250	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
186325	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
191668	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
191672	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
191673	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
246024	F07B7.5	his-63|his-49|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
175027	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
175032	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
177522	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178050	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178055	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
178066	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179233	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179260	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179264	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179267	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
179341	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
188792	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191667	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191671	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
191677	F07B7.9	his-28|his-38|his-14|his-10|his-18|his-50|his-64|his-67|his-60|his-56|his-46|his-31|his-37|his-26|his-1|his-5
